sex,age,contents,year,value
Both sexes,15-74 years,Unemployed (per cent),2010,3.8
Both sexes,15-74 years,Unemployed (per cent),2011,3.4
Both sexes,15-74 years,Unemployed (per cent),2012,3.3
Both sexes,15-74 years,Unemployed (per cent),2013,3.8
Both sexes,15-74 years,Unemployed (per cent),2014,3.6
Both sexes,15-74 years,Unemployed (per cent),2015,4.5
Both sexes,15-74 years,Unemployed (per cent),2016,4.7
Both sexes,15-74 years,Unemployed (per cent),2017,4.2
Both sexes,15-74 years,Unemployed (per cent),2018,3.8
Both sexes,15-74 years,Unemployed (per cent),2019,3.7
Both sexes,15-74 years,Unemployed (per cent),2020,4.6
Both sexes,15-74 years,Unemployed (per cent),2021,4.4
Both sexes,15-74 years,Unemployed (per cent),2022,3.2
Both sexes,15-74 years,Unemployed (per cent),2023,3.6
Both sexes,15-74 years,Unemployed (per cent),2024,4.0
Both sexes,15-74 years,Unemployed (per cent),2025,4.5
