industry,contents,year,value
Total industry,Wages and salaries (NOK million),2010,917582.0
Total industry,Wages and salaries (NOK million),2011,974570.0
Total industry,Wages and salaries (NOK million),2012,1035723.0
Total industry,Wages and salaries (NOK million),2013,1093745.0
Total industry,Wages and salaries (NOK million),2014,1137072.0
Total industry,Wages and salaries (NOK million),2015,1171877.0
Total industry,Wages and salaries (NOK million),2016,1190028.0
Total industry,Wages and salaries (NOK million),2017,1231403.0
Total industry,Wages and salaries (NOK million),2018,1290553.0
Total industry,Wages and salaries (NOK million),2019,1359548.0
Total industry,Wages and salaries (NOK million),2020,1368706.0
Total industry,Wages and salaries (NOK million),2021,1448209.0
Total industry,Wages and salaries (NOK million),2022,1564460.0
Total industry,Wages and salaries (NOK million),2023,1665720.0
Total industry,Wages and salaries (NOK million),2024,1766908.0
Total industry,Wages and salaries (NOK million),2025,1863885.0
Total industry,Employed persons. Employees and self-employed (1000 persons),2010,2555.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2011,2592.4
Total industry,Employed persons. Employees and self-employed (1000 persons),2012,2645.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2013,2675.6
Total industry,Employed persons. Employees and self-employed (1000 persons),2014,2701.5
Total industry,Employed persons. Employees and self-employed (1000 persons),2015,2712.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2016,2719.8
Total industry,Employed persons. Employees and self-employed (1000 persons),2017,2751.4
Total industry,Employed persons. Employees and self-employed (1000 persons),2018,2796.9
Total industry,Employed persons. Employees and self-employed (1000 persons),2019,2841.1
Total industry,Employed persons. Employees and self-employed (1000 persons),2020,2799.0
Total industry,Employed persons. Employees and self-employed (1000 persons),2021,2829.4
Total industry,Employed persons. Employees and self-employed (1000 persons),2022,2937.6
Total industry,Employed persons. Employees and self-employed (1000 persons),2023,2973.3
Total industry,Employed persons. Employees and self-employed (1000 persons),2024,2993.0
Total industry,Employed persons. Employees and self-employed (1000 persons),2025,3013.2
Information and communcation,Wages and salaries (NOK million),2010,44566.0
Information and communcation,Wages and salaries (NOK million),2011,47373.0
Information and communcation,Wages and salaries (NOK million),2012,50213.0
Information and communcation,Wages and salaries (NOK million),2013,52351.0
Information and communcation,Wages and salaries (NOK million),2014,55331.0
Information and communcation,Wages and salaries (NOK million),2015,57867.0
Information and communcation,Wages and salaries (NOK million),2016,58838.0
Information and communcation,Wages and salaries (NOK million),2017,61514.0
Information and communcation,Wages and salaries (NOK million),2018,64935.0
Information and communcation,Wages and salaries (NOK million),2019,70169.0
Information and communcation,Wages and salaries (NOK million),2020,71338.0
Information and communcation,Wages and salaries (NOK million),2021,78805.0
Information and communcation,Wages and salaries (NOK million),2022,88210.0
Information and communcation,Wages and salaries (NOK million),2023,95270.0
Information and communcation,Wages and salaries (NOK million),2024,100716.0
Information and communcation,Wages and salaries (NOK million),2025,105065.0
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2010,85.8
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2011,87.0
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2012,88.6
Information and communcation,Employed persons. Employees and self-employed (1000 persons),2013,89.6
