year,unemployment_rate,country
2010,3.8,Norway
2011,3.4,Norway
2012,3.3,Norway
2013,3.8,Norway
2014,3.6,Norway
2015,4.5,Norway
2016,4.7,Norway
2017,4.2,Norway
2018,3.8,Norway
2019,3.7,Norway
2020,4.6,Norway
2021,4.4,Norway
2022,3.2,Norway
2023,3.6,Norway
2024,4.0,Norway
2010,9.608333333333334,United States
2011,8.933333333333334,United States
2012,8.075000000000001,United States
2013,7.358333333333333,United States
2014,6.158333333333334,United States
2015,5.2749999999999995,United States
2016,4.875,United States
2017,4.358333333333333,United States
2018,3.891666666666667,United States
2019,3.6750000000000003,United States
2020,8.1,United States
2021,5.3500000000000005,United States
2022,3.65,United States
2023,3.625,United States
2024,4.0249999999999995,United States
