year,month,it_employment_thousands
2024,12,2895.0
2024,11,2885.0
2024,10,2887.0
2024,9,2903.0
2024,8,2909.0
2024,7,2917.0
2024,6,2930.0
2024,5,2930.0
2024,4,2940.0
2024,3,2951.0
2024,2,2958.0
2024,1,2963.0
2023,12,2963.0
2023,11,2962.0
2023,10,2951.0
2023,9,2975.0
2023,8,2981.0
2023,7,3001.0
2023,6,3021.0
2023,5,3034.0
2023,4,3043.0
2023,3,3049.0
2023,2,3048.0
2023,1,3061.0
2022,12,3092.0
2022,11,3115.0
2022,10,3100.0
2022,9,3095.0
2022,8,3097.0
2022,7,3094.0
2022,6,3076.0
2022,5,3057.0
2022,4,3034.0
2022,3,3018.0
2022,2,2990.0
2022,1,2984.0
2021,12,2967.0
2021,11,2957.0
2021,10,2938.0
2021,9,2917.0
2021,8,2903.0
2021,7,2881.0
2021,6,2824.0
2021,5,2816.0
2021,4,2796.0
2021,3,2770.0
2021,2,2764.0
2021,1,2747.0
2020,12,2712.0
2020,11,2696.0
2020,10,2684.0
2020,9,2695.0
2020,8,2640.0
2020,7,2622.0
2020,6,2622.0
2020,5,2609.0
2020,4,2643.0
2020,3,2902.0
2020,2,2910.0
2020,1,2901.0
2019,12,2891.0
2019,11,2885.0
2019,10,2874.0
2019,9,2871.0
2019,8,2865.0
2019,7,2866.0
2019,6,2875.0
2019,5,2858.0
2019,4,2846.0
2019,3,2849.0
2019,2,2843.0
2019,1,2842.0
2018,12,2851.0
2018,11,2850.0
2018,10,2850.0
2018,9,2838.0
2018,8,2840.0
2018,7,2841.0
2018,6,2838.0
2018,5,2841.0
2018,4,2838.0
2018,3,2826.0
2018,2,2819.0
2018,1,2817.0
2017,12,2818.0
2017,11,2815.0
2017,10,2811.0
2017,9,2816.0
2017,8,2813.0
2017,7,2809.0
2017,6,2811.0
2017,5,2801.0
2017,4,2804.0
2017,3,2813.0
2017,2,2815.0
2017,1,2821.0
2016,12,2817.0
2016,11,2812.0
2016,10,2814.0
2016,9,2817.0
2016,8,2803.0
2016,7,2799.0
2016,6,2801.0
2016,5,2751.0
2016,4,2789.0
2016,3,2785.0
2016,2,2775.0
2016,1,2762.0
2015,12,2761.0
2015,11,2751.0
2015,10,2766.0
2015,9,2764.0
2015,8,2751.0
2015,7,2752.0
2015,6,2748.0
2015,5,2747.0
2015,4,2742.0
2015,3,2737.0
2015,2,2741.0
2015,1,2740.0
2014,12,2737.0
2014,11,2735.0
2014,10,2727.0
2014,9,2734.0
2014,8,2733.0
2014,7,2725.0
2014,6,2722.0
2014,5,2717.0
2014,4,2721.0
2014,3,2725.0
2014,2,2718.0
2014,1,2724.0
2013,12,2727.0
2013,11,2722.0
2013,10,2718.0
2013,9,2708.0
2013,8,2691.0
2013,7,2720.0
2013,6,2705.0
2013,5,2710.0
2013,4,2696.0
2013,3,2700.0
2013,2,2698.0
2013,1,2662.0
2012,12,2677.0
2012,11,2674.0
2012,10,2666.0
2012,9,2670.0
2012,8,2675.0
2012,7,2679.0
2012,6,2674.0
2012,5,2685.0
2012,4,2680.0
2012,3,2678.0
2012,2,2676.0
2012,1,2665.0
2011,12,2679.0
2011,11,2676.0
2011,10,2677.0
2011,9,2676.0
2011,8,2632.0
2011,7,2675.0
2011,6,2685.0
2011,5,2679.0
2011,4,2674.0
2011,3,2672.0
2011,2,2672.0
2011,1,2678.0
2010,12,2682.0
2010,11,2689.0
2010,10,2695.0
2010,9,2697.0
2010,8,2701.0
2010,7,2703.0
2010,6,2701.0
2010,5,2708.0
2010,4,2714.0
2010,3,2719.0
2010,2,2737.0
2010,1,2739.0
